Seller ID,Category ID,Number of Buyers Who Initiated Contact within 3 days
41611,11,2
42827,5,1
108392,7,2
9460,2,3
87929,10,1
34530,4,1
81674,7,2
61918,6,1
17738,5,2
68343,5,2
17692,6,7
52848,3,1
34803,1,1
76290,6,4
79791,2,8
93575,11,4
88660,5,2
6727,11,3
94075,1,2
36115,7,1
16688,11,1
112784,2,11
31279,6,3
64783,5,3
113368,13,2
55609,4,3
88061,10,1
29223,5,3
23696,5,4
,7,
79551,4,1
94802,4,2
47595,5,1
74594,5,6
1586,4,4
1747,4,2
74501,4,1
38627,4,1
110766,4,3
115509,2,2
68748,11,2
105269,4,1
4016,1,4
1176,9,1
42762,3,3
121310,10,3
11749,4,13
65306,5,1
102984,5,1
87139,1,1
64115,2,1
12120,1,3
4843,5,2
118604,4,1
95409,7,1
17752,1,2
45157,5,1
8601,2,1
88628,6,1
91900,5,1
119995,6,1
2498,5,1
81661,5,1
117115,4,2
10646,3,1
67340,4,2
35156,5,4
17498,1,2
8286,5,5
14386,1,2
89645,8,4
62083,5,2
81945,1,3
21731,10,3
14903,7,29
77700,5,1
48670,5,1
11923,13,1
15753,4,1
8885,7,3
76680,4,6
75408,2,4
78246,4,1
121821,6,1
45489,5,1
81371,7,1
27511,5,1
43608,7,1
5361,5,6
1324,2,1
106191,5,2
84281,3,3
7367,4,3
64865,7,1
26035,5,1
95165,6,2
71063,2,6
18999,11,4
7302,5,2
2314,6,7
91675,3,4
35575,11,1
17615,2,1
41727,13,4
118251,1,3
121239,7,1
8802,4,4
105183,13,1
84303,10,1
21805,11,6
667,4,1
,1,
11489,6,2
86741,7,2
31194,7,1
21818,4,1
103367,4,1
23405,11,2
29305,5,3
114526,6,4
27213,4,1
119825,1,2
15799,6,2
10313,2,1
91663,4,3
40778,5,2
81606,8,1
80285,1,1
19238,5,1
2097,4,1
102377,4,3
71475,2,1
93271,7,1
32438,5,2
16280,5,2
21539,5,3
50958,8,4
80516,4,4
24733,7,4
110300,4,3
4224,11,2
32286,12,1
57129,8,2
82918,10,1
39479,5,3
26924,6,3
62971,13,2
37692,6,2
12439,4,3
13966,5,1
83406,7,2
26955,4,2
19985,4,8
21932,5,2
15253,10,4
18930,7,3
36903,4,1
5542,4,1
78207,6,2
101784,6,2
8836,5,1
96750,4,15
59692,7,4
2435,5,2
55540,5,3
116387,6,3
45185,7,14
7006,7,1
31893,5,3
47434,2,1
75711,10,2
30196,3,1
51909,11,1
99636,10,3
91434,5,1
241,3,2
24228,1,2
98138,5,1
41292,1,7
14610,5,2
12336,10,1
23085,4,1
51830,4,1
4415,5,1
80877,5,1
2566,5,2
113181,5,1
15045,5,1
66145,5,1
17305,4,1
109574,3,3
117025,4,1
9950,5,1
29,1,9
93995,5,3
52429,13,2
30800,7,4
109703,1,9
91964,7,1
27859,5,5
73340,5,6
100742,4,1
95026,4,5
22517,7,1
110517,10,1
23289,2,1
97948,9,1
49837,8,1
22383,4,2
42116,11,8
121831,6,3
96007,7,4
55495,8,3
11210,5,1
101908,5,5
65034,11,5
76644,2,1
19715,5,10
5431,5,2
59971,4,1
65693,4,2
118398,4,1
20876,4,4
7541,11,1
55096,3,1
49803,4,8
39946,1,2
22062,2,1
18822,5,3
16019,4,2
48036,11,2
30128,4,4
73658,5,2
99271,2,3
1347,7,5
122482,7,1
42883,6,2
4408,5,4
68398,5,1
113678,2,3
15858,1,1
23911,5,1
14217,7,1
59825,7,1
85318,7,3
500,1,6
35839,4,1
108828,1,13
68605,5,2
36709,5,1
112707,7,3
12440,2,4
80843,5,1
48627,6,4
3930,7,1
4382,2,3
65983,5,5
67644,10,3
13017,5,10
61998,7,2
59160,4,1
45928,4,2
4076,13,3
63996,3,7
21020,5,5
75104,11,3
90526,4,1
75155,7,1
47378,5,1
26208,5,2
351,1,3
84763,6,5
22742,2,1
31157,4,1
10793,11,5
19745,1,1
8686,2,2
10059,5,3
56746,2,3
38727,13,1
17204,5,1
86203,5,2
2904,6,1
52325,6,3
43906,4,1
4421,5,1
19395,5,1
48958,5,1
107069,5,1
111374,5,3
55503,4,3
104411,10,1
90253,5,1
42979,5,2
6998,5,1
27451,4,6
72440,5,3
1178,1,1
25048,1,3
5412,5,2
53050,6,2
64197,5,1
53956,5,2
36512,5,1
2939,4,1
116072,2,1
73720,11,1
113375,5,1
98471,13,2
19716,5,1
23443,5,1
35425,5,1
22480,3,1
91130,6,1
31261,5,3
5049,4,1
101831,7,1
7179,4,1
79626,5,1
5777,6,3
20932,2,1
15338,10,4
97056,2,1
54741,4,1
83096,5,3
82038,5,1
107604,3,7
99303,5,1
106633,1,1
22837,4,1
74622,5,17
3199,10,2
33385,5,1
2341,4,1
53606,5,6
20039,13,4
69146,8,6
29119,4,1
58382,1,8
96449,2,1
68356,5,1
21689,6,4
16174,3,1
3923,7,2
47263,10,12
96338,1,1
52794,10,1
96332,6,1
19888,1,1
82061,5,3
75781,11,2
23135,8,1
39740,4,1
55201,10,1
25819,5,1
30275,4,8
11347,5,4
54933,4,6
43230,5,3
16080,4,1
13759,6,1
22434,4,2
2375,10,2
81329,2,1
78893,4,1
23877,11,3
100881,8,1
107652,7,1
33028,2,2
119873,4,1
75048,6,1
89143,7,1
104327,5,1
27162,5,3
17160,4,3
14518,3,5
36825,2,2
95553,2,1
101684,4,1
9569,4,1
7789,5,1
10098,4,1
,6,
