Session ID,OLX User ID,Category 1 Ads,Category 2 Ads
d94ad6b45962d25a,18477,10,0
92b7d90793b8e68e,12337,0,22
c71a449980b3b734,16919,0,12
df36b202aab4caab,18958,0,0
dcd7a97488bedbee,18761,14,3
a0e4c400e1c95e15,13584,0,55
22222587aa3f649a,1834,6,447
6c845e9badf5d789,8849,0,0
21d14ef96f694540,1803,0,3
16834944edcd3b55,611,0,0
d6afc8830de87636,10330,0,0
3e62afd45669cdc,4569,0,0
51d1dffd42164803,4151,0,112
4a98376ea37c5919,5739,0,19
512dc3a30afa8432,6364,0,0
b3de5b19cc324b2b,15305,0,0
f59a3d3e7b8d2b75,20809,0,1
3a7954748f151545,4226,0,0
16a14973bb6369d0,618,0,40
4e6dd4e00c52e3ee,6077,0,1
658cec96f2f148cb,8225,0,0
9ed0cdd2a53614e3,13346,1,0
c342adc8472b65f6,16610,0,191
c03c518b73dcd724,16384,0,0
65d50985264007c0,3429,0,6
5bf27b86b4eb3d4d,7323,0,2
5c05cdeb0d4544ee,7330,0,0
b7c8095cd2fd07a5,15617,0,0
62c48e7fb0d1aee3,7955,1,0
3ce767ab687a0c4,4416,2,5
6e446a16762f48da,9021,0,0
8cb47c4944f6f357,11876,0,0
1f30e8dc1989ebe,1562,0,0
8323d46093ffcbc4,10908,0,0
bcec137bb2262b50,16055,0,0
1e7b8e1d36d07bec,1460,3,7
e36dacfff53b019f,19315,0,0
2cb6e49d790f9c81,2848,0,9
40625af612a8b8f2,4781,0,0
c79d37a77d7f1ce1,16956,0,0
40c603eba55e4271,4817,0,0
9d72ec30ac815dbd,13198,0,0
ff6744b02c9ed129,21553,14,9
e36dacfff53b019f,19314,22,17
defaa8ee1d7f4bff,6954,0,3
e2bbda7e8b4edc8a,19236,1,0
7caddc57c37ca37,10185,1,0
a02f20e61cfc5bfa,13512,0,0
b4447acd0a9add5b,15321,0,9
609133f1e08646d8,7744,4,0
7b664e0a5f8f385b,3640,0,14
c9b717f3d5b7cdf1,17144,0,0
2b35f55159232231,2718,0,0
5cce8a91e6a73769,7411,0,0
391f29d244c1b991,4103,0,0
30db22fb19233c,3271,0,1
66528862ae2db2cc,8303,0,0
e5b41356604cfa77,19453,14,0
6653c50409c5f909,8310,0,0
a3b1316865a69c9,13846,26,0
8323d46093ffcbc4,10800,0,0
eb36ab8b73f8d31b,19989,0,1
a115b088823397e0,13611,0,0
e005289e37a72174,19018,16,0
be7553d06cc3a18e,16215,0,0
ca622373efba4ba,17207,0,0
948fc4bed8673832,12447,0,3
2638bb0089c3da57,2253,0,0
1b96f9f239bbd7f7,1107,0,0
ca1c6b5b6d08669e,17172,0,0
4322b65d6013d2aa,5076,0,0
c13ef85bc06f7d0e,16468,0,0
53e6900a907b52db,6616,0,0
3c81a7cd161e28ff,4393,56,7
bd249e8c35d3e88e,16084,0,7
ee3741c3e33c5aa8,20253,0,0
32ce9e94b56c12be,3454,0,1
3d7d94997f8125a0,4454,0,1
e9f0cbafce87b10b,19875,0,13
d5b508ad72010dfd,18186,0,0
4b0577eafef98d0e,5806,0,0
9d2d8cd2e1cff93a,13172,0,15
4e2fdecda4bbf2d8,6058,0,0
f5b8c154b1d6c73,20826,11,0
2571202a6942edac,2171,0,1
