Seller ID,Category ID
32500,4
115721,4
88505,2
99708,11
14573,7
55179,3
1557,5
20918,2
22028,4
48937,3
76692,7
46137,13
46575,1
50808,7
72466,1
21937,1
14842,8
35971,8
96817,4
3233,2
77892,5
72831,2
70304,5
3886,11
14761,4
43248,7
55725,2
113821,6
31849,7
20391,5
89335,1
115834,1
2966,4
82058,11
34453,4
109857,4
67189,7
96189,11
30263,13
20831,11
88345,6
78568,4
64639,7
93855,4
110941,5
50112,4
81151,4
111196,7
93042,8
98852,6
16629,7
20988,13
59152,1
107366,7
35861,2
28154,4
67629,5
95023,13
76928,7
20586,4
32139,5
57020,8
93578,13
71654,4
62687,3
80751,1
79780,4
48750,7
56201,11
86940,5
30292,4
7577,8
26642,3
88334,8
3593,2
97196,5
53225,5
34163,5
111107,4
34032,1
118184,7
23872,7
81493,1
31858,8
94933,4
24374,2
39724,1
75098,3
35397,7
29491,10
51017,5
110180,10
62477,2
115324,5
23776,7
78064,9
64601,5
42133,1
88694,5
1869,3
35708,3
69669,1
58663,7
4435,1
101921,1
16518,7
97405,13
66926,3
118826,5
5283,1
23067,3
79427,1
63687,11
38461,7
74103,2
64968,5
35657,1
62016,5
109887,4
11525,7
88806,4
109734,6
6292,4
28338,3
119116,4
4381,6
47496,13
7093,7
77200,11
118830,5
28631,2
12405,11
64239,5
6981,2
77553,3
54766,5
57145,7
88195,5
38383,5
33363,10
96322,1
60386,6
32099,10
95875,4
10719,7
94393,7
89011,1
15167,3
34498,7
24308,4
28177,10
42596,5
28862,5
107446,4
39332,5
10680,7
120201,3
113945,4
14815,7
12516,6
113881,4
4770,7
76662,4
96233,1
121751,1
69882,4
32241,9
81288,5
13810,5
83784,3
85821,13
51335,4
94674,1
116938,7
79936,4
33402,5
104133,6
58975,4
28694,4
89840,1
26455,5
16195,4
35931,2
14064,6
114639,5
115938,4
64242,5
100393,4
10383,5
87025,4
48277,11
121894,6
122979,13
93482,4
95848,3
14235,11
16769,6
110346,4
41460,5
67791,4
109548,7
19601,1
52200,11
64506,1
5071,2
26356,7
103078,7
25879,5
67598,10
65859,3
65954,5
111130,4
76150,4
10795,5
1137,4
122280,8
24208,2
112927,1
20203,6
89095,3
6493,11
110051,1
37170,4
31939,3
48976,2
28050,6
70980,5
39369,4
53819,7
19530,5
40602,11
13820,9
110207,1
59995,5
119669,5
28022,6
106008,5
72852,1
57441,3
15096,5
62714,7
85333,7
8033,4
75028,2
106409,7
35445,7
5778,7
101068,6
114721,2
106133,5
39241,4
89121,5
47313,9
117809,4
81615,6
84566,5
99199,5
33935,5
88034,5
4611,3
79911,13
28089,5
61247,2
19822,3
64777,4
96567,11
94411,4
53771,4
11250,1
6164,5
74969,13
18500,7
40374,8
102035,5
71476,5
71345,5
8756,7
103347,8
69598,6
106899,8
107324,2
4710,7
111650,11
9385,6
85680,13
41525,2
21975,4
79310,7
111284,5
15736,4
102526,5
32863,4
91214,7
94303,7
1300,2
72410,7
112336,1
94212,4
57616,3
47352,2
1603,7
69018,5
17248,7
33370,7
36242,11
41992,4
79929,5
7624,13
95425,9
36267,10
117394,10
118282,5
8065,6
46124,10
24625,7
26928,5
104490,4
96158,4
7829,7
12235,4
67735,11
52946,2
13426,7
99802,4
91830,5
18101,11
109408,4
77888,6
102562,5
44211,13
75350,1
10806,7
20860,7
74751,4
84208,7
30487,7
18419,3
88333,7
106105,10
71041,6
66978,3
10221,3
26543,7
50578,13
37911,3
20564,4
48438,13
72549,1
2564,6
55253,4
16532,7
68675,4
112550,5
21440,7
20562,4
21328,5
93816,6
24287,3
50064,10
56094,5
24285,10
113924,6
51961,7
6079,11
102484,11
4613,9
93126,5
104314,11
16520,6
58683,5
19074,8
43005,5
65963,4
86861,1
9585,5
28767,5
23816,5
20479,4
16064,11
8124,2
20006,6
70869,6
110165,6
75490,5
81118,4
3280,6
72468,4
110917,5
6311,5
104259,8
113197,10
