SellID,TotalAds,TotalBuyView,BuyInitCont,ServPurch,ServVal
1007,25,1233,NULL,NULL,NULL
511,49,1949,NULL,NULL,NULL
786,35,2326,NULL,NULL,NULL
1085,22,1106,NULL,NULL,NULL
1132,21,1898,NULL,NULL,NULL
844,33,2977,7,NULL,NULL
354,80,5558,NULL,NULL,NULL
723,35,2642,NULL,NULL,NULL
946,27,1090,NULL,NULL,NULL
905,28,2668,NULL,NULL,NULL
32,518,41586,5,NULL,NULL
719,35,3180,NULL,NULL,NULL
1059,25,1953,10,26,8559
177,138,12696,2,NULL,NULL
74,315,25786,10,NULL,NULL
494,50,1550,3,NULL,NULL
307,83,3859,3,NULL,NULL
921,33,1640,14,NULL,NULL
515,49,3894,NULL,NULL,NULL
670,38,3317,1,NULL,NULL
1127,22,2155,5,NULL,NULL
258,98,9235,NULL,NULL,NULL
379,67,3419,NULL,NULL,NULL
546,46,3387,NULL,NULL,NULL
847,29,2107,13,NULL,NULL
154,156,1847,8,NULL,NULL
80,285,20591,3,NULL,NULL
705,36,883,NULL,NULL,NULL
1051,29,677,1,NULL,NULL
916,27,702,2,NULL,NULL
335,75,3006,NULL,NULL,NULL
251,101,1208,1,NULL,NULL
1105,22,654,2,NULL,NULL
767,32,473,1,NULL,NULL
966,26,378,7,NULL,NULL
854,30,152,7,NULL,NULL
841,150,9292,40,NULL,NULL
106,232,22438,5,233,61006
746,35,3173,16,NULL,NULL
727,34,588,8,NULL,NULL
89,261,17263,NULL,NULL,NULL
242,106,3169,5,NULL,NULL
1107,22,137,NULL,NULL,NULL
1156,21,480,NULL,NULL,NULL
48,409,8341,5,NULL,NULL
623,41,3403,NULL,NULL,NULL
437,56,1797,3,NULL,NULL
785,32,897,NULL,NULL,NULL
742,34,3134,NULL,NULL,NULL
42,453,39068,5,NULL,NULL
1001,25,221,NULL,NULL,NULL
943,27,2174,1,NULL,NULL
1098,22,1721,NULL,NULL,NULL
408,110,6950,1,NULL,NULL
1071,23,2150,1,NULL,NULL
285,89,6900,NULL,NULL,NULL
1138,40,1544,NULL,NULL,NULL
471,52,4096,13,NULL,NULL
1162,21,1114,13,NULL,NULL
756,33,2077,NULL,NULL,NULL
219,116,10093,2,NULL,NULL
1192,21,1972,NULL,NULL,NULL
84,270,14550,NULL,NULL,NULL
527,47,3268,7,NULL,NULL
1120,23,982,NULL,23,6562
85,268,9333,7,NULL,NULL
223,114,8745,NULL,NULL,NULL
39,472,41108,1,NULL,NULL
1052,35,3063,5,NULL,NULL
584,43,1064,4,NULL,NULL
261,96,5633,NULL,NULL,NULL
27,589,46062,1,NULL,NULL
309,141,7402,2,NULL,NULL
1195,21,980,1,NULL,NULL
460,54,2938,5,NULL,NULL
526,51,3796,61,NULL,NULL
497,50,923,4,NULL,NULL
255,100,7503,NULL,NULL,NULL
161,155,13613,NULL,NULL,NULL
762,36,534,21,NULL,NULL
985,27,1195,NULL,NULL,NULL
822,34,2354,21,NULL,NULL
1148,21,1259,1,NULL,NULL
467,53,2208,1,NULL,NULL
882,28,906,NULL,NULL,NULL
1122,22,1268,4,NULL,NULL
922,27,2304,1,NULL,NULL
1158,52,3081,1,NULL,NULL
1149,21,1161,1,22,8094
990,25,1373,NULL,NULL,NULL
1000,25,177,NULL,25,8667
456,54,2896,6,NULL,NULL
176,139,13504,NULL,NULL,NULL
948,28,1092,4,NULL,NULL
502,50,1675,7,NULL,NULL
648,39,3650,3,NULL,NULL
303,82,5423,1,NULL,NULL
939,28,1480,13,NULL,NULL
1175,21,585,18,NULL,NULL
181,137,12128,1,NULL,NULL
