Seller ID,Category ID,Number of Ads Posted,Number of Buyers Who Viewed the Ads
120729,4,1,42
42607,5,1,46
94057,11,1,66
91593,5,1,76
11054,10,4,260
40461,11,1,59
50076,5,1,3
47760,3,1,45
29204,1,1,64
91100,5,1,4
116369,6,1,31
106200,10,1,8
76933,2,1,88
34194,13,1,54
55724,4,1,70
4091,6,4,136
64562,7,1,46
2758,2,10,833
111662,4,1,87
23865,10,2,182
33920,7,2,73
44475,7,1,93
37490,1,2,165
1791,6,14,671
57340,5,1,73
78139,1,1,33
1107,1,22,137
51580,5,1,94
33496,4,2,78
119926,6,1,22
68760,3,1,51
6009,5,1,29
34325,4,1,45
114665,5,1,64
81335,7,1,95
44580,4,1,30
68474,10,1,21
20986,2,1,100
69745,6,1,62
20140,8,1,68
26130,2,2,97
112343,3,1,5
3226,1,10,570
22614,2,2,37
87168,3,1,49
116490,4,1,34
90836,5,1,17
84594,2,1,74
91790,8,1,33
111445,5,1,56
112224,7,1,64
63038,13,1,89
43440,6,1,84
70983,13,1,45
71383,5,1,80
72551,3,1,27
54556,8,1,60
116039,1,1,34
46094,4,1,60
86043,2,1,28
109754,5,1,2
71506,7,1,93
24922,4,2,10
74160,5,1,68
33385,2,1,66
11798,11,1,72
61618,2,1,73
75435,11,1,96
30306,7,2,43
46561,4,1,17
17281,11,1,72
45637,5,1,96
22928,5,2,141
26457,2,2,149
41774,3,1,11
117436,4,1,9
37309,6,2,70
12896,6,2,58
121894,6,1,35
61300,3,1,15
86202,5,1,36
67523,5,1,3
85458,5,1,75
48476,5,1,63
6511,4,6,594
91983,4,1,70
105914,10,1,5
48324,1,1,49
17911,7,3,262
18429,3,1,73
56001,11,1,70
11033,8,1,57
43090,6,1,13
80482,1,1,38
117937,1,1,19
6653,1,1,19
57254,5,1,14
98803,5,1,98
119561,8,1,92
110900,5,1,19
1165,1,21,1688
16585,7,3,162
116306,5,1,89
35744,11,2,28
7589,5,5,105
80661,5,1,95
19637,6,3,261
90314,9,1,68
15849,4,1,72
97340,4,1,92
109753,11,1,33
18200,6,1,16
40055,14,1,62
6719,7,6,533
34063,11,1,78
16251,13,3,1
19896,2,3,48
38145,7,2,36
37836,2,2,146
40521,13,1,70
112892,1,1,46
24214,7,1,85
2150,1,12,1177
63206,6,1,20
4611,3,2,88
118557,5,1,64
32457,3,1,29
112840,7,1,100
71778,4,1,56
36412,6,2,84
32680,7,2,1
64750,5,1,69
82310,7,1,27
32506,10,2,98
25509,4,1,62
104154,1,1,60
87380,5,1,26
35456,7,2,81
95598,4,1,24
19208,4,3,244
5184,7,7,79
75066,7,1,60
29348,2,1,26
27306,3,2,147
5154,4,7,229
68912,6,1,97
56314,1,1,12
4248,6,2,196
100558,5,1,4
106738,5,1,28
119562,13,1,36
3293,7,9,165
94052,1,1,1
66301,7,1,3
62003,13,1,26
10375,3,1,96
14244,4,3,50
71198,13,1,42
34110,2,2,156
26892,13,2,27
76525,2,1,46
39804,5,2,143
71954,1,1,81
70958,4,1,74
19175,4,3,260
16183,3,3,115
53162,11,1,68
112533,5,1,100
63622,3,1,52
42821,7,1,60
108597,2,1,5
2917,1,10,992
114743,5,1,97
37700,7,2,11
56152,4,1,10
4666,11,1,52
119425,3,1,37
22624,2,2,44
72888,5,1,39
62676,4,1,31
20493,10,3,81
58450,6,1,94
102546,3,1,54
93617,5,1,53
108641,5,1,47
120152,2,1,20
119680,11,1,25
81512,7,1,13
83927,4,1,1
54018,11,1,74
72146,7,1,49
14381,8,3,199
799,6,16,130
26903,4,2,18
81330,6,1,81
91220,1,1,59
97631,5,1,80
8578,9,5,348
40550,1,1,47
99787,4,1,19
84794,3,1,9
8566,7,1,48
98457,4,1,36
97757,7,1,88
122514,7,1,69
95485,5,1,38
3314,6,9,613
46627,2,1,61
28633,7,2,48
39537,4,1,4
82359,7,1,28
39172,7,2,195
45095,2,1,50
101960,4,1,60
78771,11,1,32
69690,2,1,85
19239,4,3,4
8050,7,2,44
67341,5,1,58
93740,3,1,3
107550,4,1,14
21482,1,2,67
76008,1,1,73
7242,4,4,61
93734,1,1,24
64438,6,1,28
75616,7,1,69
121009,5,1,87
95688,6,1,59
29435,4,2,35
98022,1,1,95
110857,3,1,10
30617,3,1,68
87295,11,1,85
30620,5,2,11
43749,5,1,64
63242,1,1,23
74282,3,1,98
31992,4,1,66
64531,6,1,3
77826,6,1,40
86047,11,1,8
115311,6,1,5
47553,5,1,87
37052,5,2,139
103662,5,1,39
122054,7,1,3
72404,5,1,71
86451,1,1,40
19852,7,3,215
5247,4,7,505
70557,13,1,80
56466,7,1,6
13587,4,4,175
39985,7,1,60
16763,5,2,44
109326,10,1,79
30187,7,1,11
69052,4,1,26
18483,8,2,197
47145,7,1,61
66467,1,1,28
110994,11,1,35
79746,7,1,93
78296,9,1,36
17694,6,2,144
43437,5,1,23
31250,11,2,38
12153,8,4,115
78904,5,1,27
108867,1,1,91
19246,4,1,35
71175,5,1,53
15855,2,3,99
20213,3,2,153
120891,5,1,67
67300,5,1,50
23089,11,2,116
93230,5,1,10
3244,2,10,466
56456,11,1,8
93437,5,1,20
59593,1,1,45
111353,2,1,66
14640,11,3,250
4552,4,7,367
59314,6,1,73
69065,5,1,94
64963,4,1,11
73809,10,1,68
14814,5,3,137
59335,1,1,92
29,1,547,13501
1738,1,15,737
37333,8,2,3
50966,4,1,44
25433,14,1,89
12988,8,3,74
70110,3,1,35
74001,1,1,27
102734,11,1,4
34147,11,2,90
102410,13,1,74
27405,4,2,84
10682,3,1,100
52571,5,1,21
113676,4,1,69
92982,6,1,72
65701,6,1,72
14064,2,2,70
2138,11,12,386
103055,4,1,88
94600,11,1,27
123333,2,1,22
21806,3,2,183
44908,5,1,46
21167,2,1,85
11900,7,4,110
34813,4,2,164
81661,1,1,24
65751,6,1,57
67979,11,1,54
4062,10,8,97
7152,6,1,92
97932,11,1,23
69657,3,1,19
116149,5,1,97
82613,2,1,73
1536,6,1,57
29886,3,1,69
67592,11,1,23
56237,5,1,69
113594,5,1,86
85914,5,1,7
5584,7,6,308
21813,13,2,71
99069,4,1,91
41476,2,1,70
23260,1,1,79
70812,2,1,91
4747,13,1,47
45477,6,1,57
13108,5,1,16
4714,13,2,114
25128,7,2,123
13103,4,4,99
84736,7,1,69
86112,6,1,16
67151,1,1,61
6558,7,1,71
23462,11,1,92
33038,3,2,34
95492,1,1,27
111155,5,1,65
89902,5,1,29
99329,5,1,77
24178,2,2,117
67171,10,1,81
1329,1,5,5
29653,2,2,25
6568,5,6,549
123216,5,1,63
110604,5,1,1
71758,7,1,61
73771,6,1,17
39730,5,2,81
68980,10,1,71
72999,5,1,23
3526,8,9,745
111177,5,1,56
21653,6,2,32
37494,1,2,176
31937,7,2,67
21915,7,2,24
91687,13,1,51
30421,3,2,155
50528,4,1,1
77208,6,1,48
29219,4,2,19
15103,9,2,191
8072,3,1,38
7438,7,6,18
101230,1,1,33
105503,4,1,52
8778,11,1,26
119789,5,1,7
32033,7,2,16
101350,4,1,64
81474,8,1,5
39325,5,2,74
112286,3,1,58
38760,6,2,139
15939,6,3,293
90248,10,1,100
24525,2,2,93
815,2,30,2651
14600,7,3,187
37465,6,2,200
96889,13,1,18
96643,6,1,23
56560,10,1,88
75280,7,1,73
102870,5,1,38
57262,5,1,97
22170,4,1,89
5966,11,1,77
48110,4,1,87
70547,11,1,46
66319,10,1,12
18359,13,3,228
34069,1,1,80
114111,5,1,78
23880,1,2,11
99019,5,1,26
8399,2,3,240
101160,7,1,17
15961,13,3,68
24025,3,2,87
60830,8,1,44
43942,5,1,27
59985,11,1,91
84588,2,1,95
23620,10,2,37
89357,4,1,6
73962,3,1,46
15337,2,3,37
55920,2,1,44
19979,7,1,83
73274,4,1,59
26719,5,2,77
86835,7,1,90
64034,12,1,1
96059,13,1,96
84246,4,1,22
72723,2,1,43
43883,5,1,58
3640,3,1,73
74621,4,1,99
109405,11,1,42
57635,4,1,32
90776,12,1,18
69904,3,1,10
13015,4,4,239
5314,1,7,351
26191,8,1,7
61826,6,1,39
57605,7,1,53
61746,7,1,99
99689,1,1,76
72019,11,1,76
9148,11,5,361
47865,4,1,24
85567,7,1,74
7016,8,4,303
25115,8,2,160
12279,7,1,83
36051,2,2,12
92898,10,1,69
120725,4,1,63
2000,4,13,708
105608,6,1,82
119407,1,1,16
24289,7,2,34
34080,4,2,152
614,1,41,656
27977,4,1,66
20313,2,1,59
32517,2,1,92
51007,1,1,84
57571,13,1,49
53835,4,1,44
65983,1,1,90
66630,5,1,36
102816,5,1,6
75971,4,1,66
7431,10,6,343
117132,7,1,54
66943,7,1,36
115070,3,1,94
91542,7,1,33
16407,13,3,72
14332,6,1,45
76011,5,1,34
120679,4,1,68
47073,3,1,94
89958,8,1,33
86053,8,1,29
20038,4,3,183
31334,5,2,105
71826,7,1,81
62161,7,1,89
1238,11,1,45
105476,7,1,62
92919,7,1,8
55860,1,1,48
5898,6,1,97
26268,7,1,5
15327,3,3,133
18316,4,3,11
91294,5,1,18
113031,6,1,81
77642,12,1,33
31770,7,1,93
16672,11,1,52
26062,5,2,189
115523,5,1,24
12885,4,4,169
41007,7,1,69
65230,7,1,30
24386,11,2,101
104727,5,1,67
9990,2,4,96
91415,7,1,36
49094,7,1,53
94491,13,1,11
21953,7,1,14
6422,7,6,155
23509,2,2,184
72238,6,1,93
3953,13,8,309
51625,5,1,24
100763,11,1,71
115956,3,1,94
20431,4,3,299
83403,8,1,83
68480,6,1,25
112404,11,1,34
18027,7,1,51
108777,5,1,44
99157,7,1,49
44510,9,1,28
5365,7,7,387
20349,6,1,94
61860,2,1,21
63536,5,1,57
3897,13,2,155
4245,7,8,353
108028,10,1,9
71572,1,1,43
98549,1,1,91
98328,5,1,45
76580,5,1,35
28915,3,2,183
48236,6,1,6
112539,3,1,77
91544,7,1,49
87079,8,1,28
104858,11,1,10
93761,1,1,34
114609,5,1,25
50334,4,1,97
111381,4,1,87
10264,11,4,317
35403,1,1,38
25106,6,2,20
88071,7,1,4
51048,4,1,63
23270,1,2,1
115152,12,1,90
79315,7,1,42
19549,6,3,104
61471,11,1,15
68347,11,1,97
69471,7,1,91
58085,3,1,17
110575,4,1,83
99462,2,1,5
61990,4,1,93
106937,7,1,68
51285,6,1,11
48132,6,1,22
28382,3,1,27
61426,7,1,61
15244,6,2,113
69997,12,1,56
69350,3,1,44
9502,7,5,154
35045,10,2,36
10468,4,4,180
